,VIX,regime,regime_name
1990-02-28,21.989999771118164,1,stressed
1990-03-31,19.729999542236328,0,calm
1990-04-30,19.520000457763672,0,calm
1990-05-31,17.3700008392334,0,calm
1990-06-30,15.5,0,calm
1990-07-31,21.11000061035156,1,stressed
1990-08-31,29.899999618530273,1,stressed
1990-09-30,29.11000061035156,1,stressed
1990-10-31,30.040000915527344,2,crisis
1990-11-30,22.15999984741211,1,stressed
1990-12-31,26.3799991607666,1,stressed
1991-01-31,20.90999984741211,1,stressed
1991-02-28,21.229999542236328,1,stressed
1991-03-31,16.8799991607666,0,calm
1991-04-30,18.239999771118164,0,calm
1991-05-31,15.93000030517578,0,calm
1991-06-30,19.549999237060547,0,calm
1991-07-31,15.18000030517578,0,calm
1991-08-31,14.460000038146973,0,calm
1991-09-30,15.850000381469728,0,calm
1991-10-31,15.479999542236328,0,calm
1991-11-30,20.260000228881836,1,stressed
1991-12-31,19.309999465942383,0,calm
1992-01-31,17.399999618530273,0,calm
1992-02-29,16.68000030517578,0,calm
1992-03-31,16.18000030517578,0,calm
1992-04-30,15.529999732971191,0,calm
1992-05-31,13.859999656677246,0,calm
1992-06-30,13.350000381469728,0,calm
1992-07-31,13.170000076293944,0,calm
1992-08-31,13.579999923706056,0,calm
1992-09-30,14.279999732971191,0,calm
1992-10-31,16.149999618530273,0,calm
1992-11-30,13.010000228881836,0,calm
1992-12-31,12.56999969482422,0,calm
1993-01-31,12.420000076293944,0,calm
1993-02-28,13.15999984741211,0,calm
1993-03-31,12.529999732971191,0,calm
1993-04-30,12.420000076293944,0,calm
1993-05-31,13.470000267028809,0,calm
1993-06-30,11.260000228881836,0,calm
1993-07-31,11.729999542236328,0,calm
1993-08-31,11.850000381469728,0,calm
1993-09-30,12.989999771118164,0,calm
1993-10-31,11.460000038146973,0,calm
1993-11-30,13.760000228881836,0,calm
1993-12-31,11.65999984741211,0,calm
1994-01-31,10.630000114440918,0,calm
1994-02-28,14.869999885559082,0,calm
1994-03-31,20.450000762939453,1,stressed
1994-04-30,13.770000457763672,0,calm
1994-05-31,13.029999732971191,0,calm
1994-06-30,14.970000267028809,0,calm
1994-07-31,11.130000114440918,0,calm
1994-08-31,11.970000267028809,0,calm
1994-09-30,14.279999732971191,0,calm
1994-10-31,14.5600004196167,0,calm
1994-11-30,15.949999809265137,0,calm
1994-12-31,13.199999809265137,0,calm
1995-01-31,11.960000038146973,0,calm
1995-02-28,11.75,0,calm
1995-03-31,13.369999885559082,0,calm
1995-04-30,11.75,0,calm
1995-05-31,12.850000381469728,0,calm
1995-06-30,11.380000114440918,0,calm
1995-07-31,13.489999771118164,0,calm
1995-08-31,11.520000457763672,0,calm
1995-09-30,12.739999771118164,0,calm
1995-10-31,13.829999923706056,0,calm
1995-11-30,11.579999923706056,0,calm
1995-12-31,12.520000457763672,0,calm
1996-01-31,12.529999732971191,0,calm
1996-02-29,17.040000915527344,0,calm
1996-03-31,18.8799991607666,0,calm
1996-04-30,15.829999923706056,0,calm
1996-05-31,16.06999969482422,0,calm
1996-06-30,13.68000030517578,0,calm
1996-07-31,19.459999084472656,0,calm
1996-08-31,17.010000228881836,0,calm
1996-09-30,16.950000762939453,0,calm
1996-10-31,18.11000061035156,0,calm
1996-11-30,17.139999389648438,0,calm
1996-12-31,20.920000076293945,1,stressed
1997-01-31,19.469999313354492,0,calm
1997-02-28,21.100000381469727,1,stressed
1997-03-31,22.13999938964844,1,stressed
1997-04-30,20.059999465942383,1,stressed
1997-05-31,19.190000534057617,0,calm
1997-06-30,21.530000686645508,1,stressed
1997-07-31,21.479999542236328,1,stressed
1997-08-31,24.760000228881836,1,stressed
1997-09-30,22.90999984741211,1,stressed
1997-10-31,35.09000015258789,2,crisis
1997-11-30,27.43000030517578,1,stressed
1997-12-31,24.010000228881836,1,stressed
1998-01-31,21.469999313354492,1,stressed
1998-02-28,18.549999237060547,0,calm
1998-03-31,24.219999313354492,1,stressed
1998-04-30,21.18000030517578,1,stressed
1998-05-31,21.31999969482422,1,stressed
1998-06-30,19.709999084472656,0,calm
1998-07-31,24.799999237060547,1,stressed
1998-08-31,44.279998779296875,2,crisis
1998-09-30,40.95000076293945,2,crisis
1998-10-31,28.049999237060547,1,stressed
1998-11-30,26.010000228881836,1,stressed
1998-12-31,24.420000076293945,1,stressed
1999-01-31,26.25,1,stressed
1999-02-28,27.8799991607666,1,stressed
1999-03-31,23.260000228881836,1,stressed
1999-04-30,25.06999969482422,1,stressed
1999-05-31,25.38999938964844,1,stressed
1999-06-30,21.09000015258789,1,stressed
1999-07-31,24.63999938964844,1,stressed
1999-08-31,24.450000762939453,1,stressed
1999-09-30,25.40999984741211,1,stressed
1999-10-31,22.200000762939453,1,stressed
1999-11-30,24.18000030517578,1,stressed
1999-12-31,24.63999938964844,1,stressed
2000-01-31,24.950000762939453,1,stressed
2000-02-29,23.3700008392334,1,stressed
2000-03-31,24.11000061035156,1,stressed
2000-04-30,26.200000762939453,1,stressed
2000-05-31,23.649999618530273,1,stressed
2000-06-30,19.540000915527344,0,calm
2000-07-31,20.739999771118164,1,stressed
2000-08-31,16.84000015258789,0,calm
2000-09-30,20.56999969482422,1,stressed
2000-10-31,23.6299991607666,1,stressed
2000-11-30,29.649999618530273,1,stressed
2000-12-31,26.850000381469727,1,stressed
2001-01-31,22.020000457763672,1,stressed
2001-02-28,28.350000381469727,1,stressed
2001-03-31,28.63999938964844,1,stressed
2001-04-30,25.479999542236328,1,stressed
2001-05-31,22.63999938964844,1,stressed
2001-06-30,19.059999465942383,0,calm
2001-07-31,21.6200008392334,1,stressed
2001-08-31,24.920000076293945,1,stressed
2001-09-30,31.93000030517578,2,crisis
2001-10-31,33.560001373291016,2,crisis
2001-11-30,23.84000015258789,1,stressed
2001-12-31,23.799999237060547,1,stressed
2002-01-31,21.09000015258789,1,stressed
2002-02-28,21.59000015258789,1,stressed
2002-03-31,17.399999618530273,0,calm
2002-04-30,21.90999984741211,1,stressed
2002-05-31,19.979999542236328,0,calm
2002-06-30,25.399999618530273,1,stressed
2002-07-31,32.029998779296875,2,crisis
2002-08-31,32.63999938964844,2,crisis
2002-09-30,39.689998626708984,2,crisis
2002-10-31,31.13999938964844,2,crisis
2002-11-30,27.5,1,stressed
2002-12-31,28.6200008392334,1,stressed
2003-01-31,31.170000076293945,2,crisis
2003-02-28,29.6299991607666,1,stressed
2003-03-31,29.149999618530273,1,stressed
2003-04-30,21.209999084472656,1,stressed
2003-05-31,19.469999313354492,0,calm
2003-06-30,19.520000457763672,0,calm
2003-07-31,19.489999771118164,0,calm
2003-08-31,18.6299991607666,0,calm
2003-09-30,22.719999313354492,1,stressed
2003-10-31,16.100000381469727,0,calm
2003-11-30,16.31999969482422,0,calm
2003-12-31,18.309999465942383,0,calm
2004-01-31,16.6299991607666,0,calm
2004-02-29,14.550000190734863,0,calm
2004-03-31,16.739999771118164,0,calm
2004-04-30,17.190000534057617,0,calm
2004-05-31,15.5,0,calm
2004-06-30,14.34000015258789,0,calm
2004-07-31,15.31999969482422,0,calm
2004-08-31,15.289999961853027,0,calm
2004-09-30,13.34000015258789,0,calm
2004-10-31,16.270000457763672,0,calm
2004-11-30,13.239999771118164,0,calm
2004-12-31,13.289999961853027,0,calm
2005-01-31,12.81999969482422,0,calm
2005-02-28,12.079999923706056,0,calm
2005-03-31,14.020000457763672,0,calm
2005-04-30,15.3100004196167,0,calm
2005-05-31,13.289999961853027,0,calm
2005-06-30,12.039999961853027,0,calm
2005-07-31,11.56999969482422,0,calm
2005-08-31,12.600000381469728,0,calm
2005-09-30,11.920000076293944,0,calm
2005-10-31,15.31999969482422,0,calm
2005-11-30,12.0600004196167,0,calm
2005-12-31,12.06999969482422,0,calm
2006-01-31,12.949999809265137,0,calm
2006-02-28,12.34000015258789,0,calm
2006-03-31,11.390000343322754,0,calm
2006-04-30,11.59000015258789,0,calm
2006-05-31,16.440000534057617,0,calm
2006-06-30,13.079999923706056,0,calm
2006-07-31,14.949999809265137,0,calm
2006-08-31,12.3100004196167,0,calm
2006-09-30,11.979999542236328,0,calm
2006-10-31,11.100000381469728,0,calm
2006-11-30,10.90999984741211,0,calm
2006-12-31,11.5600004196167,0,calm
2007-01-31,10.420000076293944,0,calm
2007-02-28,15.420000076293944,0,calm
2007-03-31,14.640000343322754,0,calm
2007-04-30,14.220000267028809,0,calm
2007-05-31,13.050000190734863,0,calm
2007-06-30,16.229999542236328,0,calm
2007-07-31,23.520000457763672,1,stressed
2007-08-31,23.3799991607666,1,stressed
2007-09-30,18.0,0,calm
2007-10-31,18.530000686645508,0,calm
2007-11-30,22.8700008392334,1,stressed
2007-12-31,22.5,1,stressed
